image,SSIM,PSNR,LPIPS,FID
10M2102916_10_17.png,0.16689552958124776,11.289981077906948,0.4461348354816437,1.1780281066894531
10M2102916_10_9.png,0.22076172743186576,14.365243729670965,0.4249294698238373,1.1780281066894531
10M2102916_11_26.png,0.08898936306236162,9.514368966341717,0.5000168085098267,1.1780281066894531
10M2102916_12_17.png,0.0839875641396383,9.814528741948651,0.46380794048309326,1.1780281066894531
10M2102916_12_9.png,0.13721106461737462,11.273143376009099,0.44446927309036255,1.1780281066894531
10M2102916_13_15.png,0.16611728891485944,12.875941772362049,0.4474201500415802,1.1780281066894531
10M2102916_14_4.png,0.11537532165182295,9.640167751733872,0.46027541160583496,1.1780281066894531
10M2102916_15_8.png,0.09301112806295309,10.616498304955291,0.46918460726737976,1.1780281066894531
10M2102916_22_23.png,0.16072679538122356,13.643895827464014,0.4168609380722046,1.1780281066894531
10M2102916_25_27.png,0.11508545553239151,9.32630670212811,0.46114403009414673,1.1780281066894531
10M2102916_25_30.png,0.10468104211594964,13.30599527449108,0.3461621105670929,1.1780281066894531
10M2102916_26_11.png,0.14685812116263,11.758070607956157,0.44905006885528564,1.1780281066894531
10M2102916_26_34.png,0.1401327966503983,11.254360785720245,0.47643017768859863,1.1780281066894531
10M2102916_26_8.png,0.20232377073021068,13.710303902196998,0.42459309101104736,1.1780281066894531
10M2102916_32_29.png,0.08663190830109364,9.16622227725307,0.4885580539703369,1.1780281066894531
10M2102916_33_14.png,0.27135828614918894,13.766318707635977,0.5139533281326294,1.1780281066894531
10M2102916_37_28.png,0.05899696295211638,10.185968967999901,0.5368826389312744,1.1780281066894531
10M2102916_37_29.png,0.07511546149962976,10.840671263990021,0.4757455587387085,1.1780281066894531
10M2102916_39_25.png,0.274376529043921,11.801949670034478,0.5558961033821106,1.1780281066894531
10M2102916_8_22.png,0.15215842162370144,8.156664423677553,0.4386138319969177,1.1780281066894531
10M2102916_9_21.png,0.2297362390706934,9.974008129620293,0.3924750089645386,1.1780281066894531
12M2102884_10_7.png,0.15514784258983405,15.595796250798212,0.33322641253471375,1.1780281066894531
12M2102884_18_4.png,0.13444165364301827,15.90867789328078,0.30452990531921387,1.1780281066894531
12M2102884_22_16.png,0.08653648010430874,10.105952427073987,0.5737526416778564,1.1780281066894531
12M2102884_29_16.png,0.18338698775736184,14.532160095867624,0.5069066286087036,1.1780281066894531
12M2102884_29_8.png,0.17821543890811764,13.115804741155998,0.4556029736995697,1.1780281066894531
12M2102884_31_3.png,0.16854130505244816,15.346225285741877,0.40811532735824585,1.1780281066894531
12M2102884_31_8.png,0.10114774360814033,10.199325348835277,0.5969557166099548,1.1780281066894531
12M2102884_33_4.png,0.09269189046413918,12.905101137010382,0.5110380053520203,1.1780281066894531
12M2102884_39_9.png,0.08154860897973958,9.0622904374794,0.605545699596405,1.1780281066894531
12M2102884_40_16.png,0.13957873545124558,10.166509465206119,0.5825042724609375,1.1780281066894531
12M2102884_41_12.png,0.08414315985151867,8.831767105612988,0.6270082592964172,1.1780281066894531
12M2102884_8_9.png,0.1227900018644253,15.352036680840847,0.30663150548934937,1.1780281066894531
14M2102785_12_7.png,0.10636516749435165,12.610339172626404,0.4598740339279175,1.1780281066894531
14M2102785_14_7.png,0.1070187647774367,10.612656139491548,0.47300517559051514,1.1780281066894531
14M2102785_17_15.png,0.22111170222699883,15.53074125450759,0.45115283131599426,1.1780281066894531
14M2102785_17_7.png,0.1506319753968099,11.235475565597453,0.46976354718208313,1.1780281066894531
14M2102785_18_6.png,0.11034398730463794,9.63774889431753,0.4824848473072052,1.1780281066894531
14M2102785_19_11.png,0.07969426965809637,10.212095523480011,0.46047526597976685,1.1780281066894531
14M2102785_20_10.png,0.07908911929628315,9.738373829720148,0.46082258224487305,1.1780281066894531
14M2102785_20_16.png,0.13597996608608973,11.495876773407359,0.4569830298423767,1.1780281066894531
14M2102785_21_15.png,0.12494007427762029,10.460921789976979,0.5166770219802856,1.1780281066894531
14M2102785_22_18.png,0.07715803601829241,9.954002261721635,0.44675666093826294,1.1780281066894531
14M2102785_23_7.png,0.1463799784722595,12.75775871997218,0.47094622254371643,1.1780281066894531
14M2102785_23_9.png,0.1501643502751763,12.769971525466918,0.49301329255104065,1.1780281066894531
14M2102785_24_18.png,0.07787932510719484,10.068135669925859,0.4689309000968933,1.1780281066894531
14M2102785_25_14.png,0.10077938687879569,9.709273157627049,0.49664202332496643,1.1780281066894531
14M2102785_25_16.png,0.09644640467551208,11.18375589803085,0.44098538160324097,1.1780281066894531
14M2102785_26_11.png,0.22576510383450057,11.183008797869737,0.47297152876853943,1.1780281066894531
14M2102785_27_14.png,0.12903965149854799,11.084649688496818,0.4433889389038086,1.1780281066894531
14M2102785_29_11.png,0.1611784138584854,11.422884913098468,0.4503747820854187,1.1780281066894531
15M2102762_10_13.png,0.23828887260710896,16.086947635449704,0.3932453393936157,1.1780281066894531
15M2102762_10_19.png,0.20591467297529364,15.666825598322568,0.39041635394096375,1.1780281066894531
15M2102762_11_7.png,0.29625080633475515,19.259899232911536,0.30497026443481445,1.1780281066894531
15M2102762_12_14.png,0.32272932947279714,16.96714073255886,0.4197606146335602,1.1780281066894531
15M2102762_14_17.png,0.35962797120458295,18.354893545575457,0.3396404981613159,1.1780281066894531
15M2102762_15_21.png,0.28797383186412384,16.150356691667135,0.35558807849884033,1.1780281066894531
